"","Title","Date","Prize","URL"
"1",NA,NA,NA,NA
"2","標題[賣/高雄] ipad pro wifi版 32G 太空灰 ","時間Thu Jan 28 13:22:06 2016","[交易價格]：24500","https://www.ptt.cc/bbs/MacShop/M.1453958529.A.AED.html"
"3","標題[賣/台北]  iphone 6 plus 16g 太空灰 1/25整新","時間Thu Jan 28 13:25:52 2016","[交易價格]：NTD:15500","https://www.ptt.cc/bbs/MacShop/M.1453958754.A.549.html"
"4","標題[賣/高雄] iPhone 6 16G 金色","時間Thu Jan 28 13:31:57 2016","[交易價格]： 13000 元","https://www.ptt.cc/bbs/MacShop/M.1453959120.A.3B5.html"
"5","標題[賣/高雄］MacBook air2014 4g/128g","時間Thu Jan 28 13:47:36 2016","[交易價格]：23000，議價暫不回","https://www.ptt.cc/bbs/MacShop/M.1453960059.A.B7E.html"
"6","標題[賣/台中] iphone 6 plus 64G 銀白 售出","時間Thu Jan 28 13:50:10 2016","[交易價格]：17000","https://www.ptt.cc/bbs/MacShop/M.1453960213.A.262.html"
"7","標題[賣/ ] iphone6 plus 64g 銀 未過保","時間Thu Jan 28 13:58:56 2016","[交易價格]：22000","https://www.ptt.cc/bbs/MacShop/M.1453960739.A.A38.html"
"8","標題[賣/台北] ipad mini 白 16g","時間Thu Jan 28 14:05:24 2016","[交易價格]：4000 含全新6splus的配件(不用配件3500)","https://www.ptt.cc/bbs/MacShop/M.1453961126.A.9EB.html"
"9","標題[賣/台南] iPhone 6s 64G 太空灰全新未拆 ","時間Thu Jan 28 14:16:59 2016","[交易價格]： 25500","https://www.ptt.cc/bbs/MacShop/M.1453961821.A.3A4.html"
"10","標題[賣/全省] Mini DisplayPort to vga 「已售出」","時間Thu Jan 28 14:34:49 2016","[交易價格]：已售出","https://www.ptt.cc/bbs/MacShop/M.1453962891.A.33F.html"
"11","標題[賣/台北] iPhone 6 銀白64G 保固內","時間Thu Jan 28 14:59:35 2016","[交易價格]：18,500","https://www.ptt.cc/bbs/MacShop/M.1453964378.A.421.html"
"12","標題[賣/台北] 全新 New Apple TV 4代 32G 公司貨","時間Thu Jan 28 15:03:17 2016","[交易價格]：$4700","https://www.ptt.cc/bbs/MacShop/M.1453964599.A.194.html"
"13","標題[賣/高雄] iPad mini4 wifi 64gb 金色","時間Thu Jan 28 15:17:06 2016","[交易價格]：14200","https://www.ptt.cc/bbs/MacShop/M.1453965429.A.D0B.html"
"14","標題[賣/台南] iphone earpods 線控耳機","時間Thu Jan 28 15:36:46 2016","[交易價格]：500 蝦皮下標含運 面交以外酌收運費","https://www.ptt.cc/bbs/MacShop/M.1453966609.A.1C3.html"
"15","標題[賣/台北 ]iPad mini 4 16G 銀色","時間Thu Jan 28 15:38:22 2016","[交易價格]：11000","https://www.ptt.cc/bbs/MacShop/M.1453966704.A.B25.html"
"16","標題[賣/全省] Draco5 for iPhone5/5S 金屬殼 200 ","時間Thu Jan 28 15:39:39 2016","[交易價格]：200元 運費50","https://www.ptt.cc/bbs/MacShop/M.1453966782.A.EE1.html"
"17","標題[賣/全省] lightning to usb 相機轉接器","時間Thu Jan 28 16:07:42 2016","[交易價格]：700 (已售出)","https://www.ptt.cc/bbs/MacShop/M.1453968465.A.6B3.html"
"18","標題[賣/台北] 二手鍵盤Apple wireless keyboard","時間Thu Jan 28 16:09:51 2016","[交易價格]：１０００","https://www.ptt.cc/bbs/MacShop/M.1453968595.A.7E0.html"
"19","標題[賣/全國] 全新iPad mini 4 WiFi 16GB 金色","時間Thu Jan 28 16:29:03 2016","[交易價格]：11000","https://www.ptt.cc/bbs/MacShop/M.1453969746.A.1DB.html"
"20","標題[賣/全省] iPhone 5 32G 銀色/故障零件機","時間Thu Jan 28 16:34:23 2016","[交易價格]：2000 (已售出)","https://www.ptt.cc/bbs/MacShop/M.1453970066.A.9E6.html"
"21","標題[賣/台北] 2015 MacBook Pro  Air  台灣版全新未","時間Thu Jan 28 17:28:34 2016","[交易價格]：","https://www.ptt.cc/bbs/MacShop/M.1453973318.A.433.html"
"22","標題[賣/全國] IPHONE 6 16G 金 無傷","時間Thu Jan 28 17:43:08 2016","[交易價格]：13000","https://www.ptt.cc/bbs/MacShop/M.1453974191.A.4E6.html"
"23","標題[賣/全國] IPHONE 6S 16G 金色 全新","時間Thu Jan 28 17:45:01 2016","[交易價格]：21500","https://www.ptt.cc/bbs/MacShop/M.1453974304.A.F3F.html"
"24","標題[賣/全國] IPHONE 6S 16G 玫瑰金","時間Thu Jan 28 17:45:29 2016","[交易價格]：21500","https://www.ptt.cc/bbs/MacShop/M.1453974331.A.6EB.html"
"25","標題[賣/台北] 全新Apple Watch Sport 白色 38mm  ","時間Thu Jan 28 18:01:52 2016","[交易價格]：8700","https://www.ptt.cc/bbs/MacShop/M.1453975314.A.B99.html"
"26","標題[賣/台北] Macbook Pro 17 吋 2011 Early","時間Thu Jan 28 18:06:39 2016","[交易價格]：45000","https://www.ptt.cc/bbs/MacShop/M.1453975601.A.F61.html"
