"","Title","Date","Prize","URL"
"2","標題[賣/台北] iphone 6s plus 16g 玫瑰金 全新未拆 ","時間Sun Oct 18 01:27:18 2015","[交易價格]：27500","https://www.ptt.cc/bbs/MacShop/M.1445102841.A.DF3.html"
"3","標題[賣/新北 iPhone 6S 64GB 金色 全新未拆封","時間Sun Oct 18 01:42:29 2015","[交易價格]：28000全新沒拆封","https://www.ptt.cc/bbs/MacShop/M.1445103752.A.2DE.html"
"4","標題[賣/雙北] iphone 64s 64g 玫瑰金 全新未拆 ","時間Sun Oct 18 01:46:21 2015","[交易價格]：28300","https://www.ptt.cc/bbs/MacShop/M.1445103984.A.195.html"
"5","標題[賣/新竹] 9成新 iPhone 6 128G 太空灰","時間Sun Oct 18 01:53:54 2015","[交易價格]：$20000","https://www.ptt.cc/bbs/MacShop/M.1445104437.A.FB8.html"
"6","標題[賣/台北] IPad mini 2 wifi 64g","時間Sun Oct 18 01:59:46 2015","[交易價格]：","https://www.ptt.cc/bbs/MacShop/M.1445104801.A.F4C.html"
"7","標題[賣/全國] iPhone 5 16G 黑色 ","時間Sun Oct 18 03:02:51 2015","[交易價格]：5000元，含郵寄","https://www.ptt.cc/bbs/MacShop/M.1445108573.A.797.html"
"8","標題[賣/台中] Macbook Air 2012中 4G/128G","時間Sun Oct 18 04:18:34 2015","[交易價格]：17,000","https://www.ptt.cc/bbs/MacShop/M.1445113116.A.EA3.html"
"9","標題[賣/高雄] 售出","時間Sun Oct 18 05:49:35 2015","[交易價格]：售出","https://www.ptt.cc/bbs/MacShop/M.1445118578.A.EF8.html"
"10","標題[賣/台北] iPhone 6S 64GB 玫瑰金 全新未拆封'","時間Sun Oct 18 08:21:07 2015","[交易價格]：28500 全新沒拆封","https://www.ptt.cc/bbs/MacShop/M.1445127670.A.668.html"
"11","標題[賣/台中] iphone6 64G 銀色","時間Sun Oct 18 08:22:52 2015","[交易價格]：$18000","https://www.ptt.cc/bbs/MacShop/M.1445127774.A.59E.html"
"12","標題[賣/台北] macbook air 13吋 2013年 128/8g","時間Sun Oct 18 09:16:28 2015","[交易價格]：22000","https://www.ptt.cc/bbs/MacShop/M.1445130991.A.823.html"
