,Title,Date,Prize,URL
109,標題[賣/台南] iPhone 5S 金色 16GB,時間Mon Nov  2 22:02:22 2015,[交易價格]：8000,https://www.ptt.cc/bbs/MacShop/M.1446472951.A.5BB.html
110,標題[賣/高雄] iPhone 6s Plus 64GB 銀白,時間Mon Nov  2 22:05:24 2015,[交易價格]：31500,https://www.ptt.cc/bbs/MacShop/M.1446473127.A.973.html
111,標題[賣/全國] Thunderbolt 連接線 2M,時間Mon Nov  2 22:06:41 2015,[交易價格]：1000 (運費另計),https://www.ptt.cc/bbs/MacShop/M.1446473204.A.4E2.html
112,標題[賣/台北] i phone 6s plus 16G 便宜賣~~,時間Mon Nov  2 22:16:06 2015,[交易價格]：23500,https://www.ptt.cc/bbs/MacShop/M.1446473770.A.849.html
113,標題[賣/全國] GOR IPAD mini 4 玻璃貼 保護貼,時間Mon Nov  2 22:24:12 2015,[交易價格]：2.0D 弧邊 -> 210 元,https://www.ptt.cc/bbs/MacShop/M.1446474255.A.58E.html
114,標題[賣/新竹] 全新iPad Air 2 64G WiFi+Celluar 金,時間Mon Nov  2 22:29:18 2015,[交易價格]：20000,https://www.ptt.cc/bbs/MacShop/M.1446474561.A.4A1.html
115,標題[賣/全國] IPHONE 5S 金色32G,時間Mon Nov  2 22:32:10 2015,[交易價格]：9000 不含郵資,https://www.ptt.cc/bbs/MacShop/M.1446474732.A.729.html
116,標題[賣/台北] iPhone 6 Plus 64G 太空灰,時間Mon Nov  2 22:36:37 2015,[交易價格]：20000,https://www.ptt.cc/bbs/MacShop/M.1446475001.A.720.html
117,標題[賣/台北] 賣iPhone6 64G 銀 中華電信貨 二手,時間Mon Nov  2 22:36:45 2015,[交易價格]：17500,https://www.ptt.cc/bbs/MacShop/M.1446475008.A.871.html
118,標題[賣/台南] iPhone 5s 16G 銀色 6500 面交,時間Mon Nov  2 22:37:42 2015,[交易價格]：配合我時間地點者6500，無法配合6700,https://www.ptt.cc/bbs/MacShop/M.1446475066.A.A77.html
119,"標題[賣/台北] 全新Macbook 12"" 2015 256G 8G 金",時間Mon Nov  2 22:41:30 2015,[交易價格]：36500元,https://www.ptt.cc/bbs/MacShop/M.1446475293.A.4E9.html
120,標題[賣/雙北] iphone 5 16G 白(送4條充電線),時間Mon Nov  2 22:42:14 2015,[交易價格]：5000,https://www.ptt.cc/bbs/MacShop/M.1446475337.A.6C7.html
121,標題[賣/台南] iPhone 6 PLUS 金色 128G,時間Mon Nov  2 22:47:44 2015,"[交易價格]：23,000",https://www.ptt.cc/bbs/MacShop/M.1446475666.A.B80.html
122,標題[賣/台北] iphone 5 16g 黑,時間Mon Nov  2 22:53:28 2015,[交易價格]：5000,https://www.ptt.cc/bbs/MacShop/M.1446476010.A.AB9.html
123,標題[賣/全國] 全新EarPods原廠耳機，全新原廠白豆,時間Mon Nov  2 22:56:17 2015,[交易價格]：全新EarPods原廠耳機450元,https://www.ptt.cc/bbs/MacShop/M.1446476180.A.8FE.html
124,標題[賣/台中] iPhone 6s plus 64GB 金色,時間Mon Nov  2 23:01:47 2015,"[交易價格]：31,000",https://www.ptt.cc/bbs/MacShop/M.1446476509.A.614.html
125,標題[賣/台北] iphone 6s金色64g,時間Mon Nov  2 23:24:17 2015,[交易價格]：新台幣28000元,https://www.ptt.cc/bbs/MacShop/M.1446477861.A.725.html
126,標題[賣/台中] iPhone 6plus 64G銀白,時間Mon Nov  2 23:27:12 2015,[交易價格]： $17500,https://www.ptt.cc/bbs/MacShop/M.1446478034.A.2E1.html
127,標題[賣/高雄] iphone 6s 16g 玫瑰金,時間Mon Nov  2 23:28:14 2015,[交易價格]：22000,https://www.ptt.cc/bbs/MacShop/M.1446478097.A.C9F.html
128,標題[賣/桃園] iPhone 6s 128g金,時間Mon Nov  2 23:28:27 2015,[交易價格]：29500,https://www.ptt.cc/bbs/MacShop/M.1446478109.A.C35.html
129,[交易價格]：6500,[交易價格]：7500,[交易價格]：13500,https://www.ptt.cc/bbs/MacShop/M.1446479024.A.A36.html
130,標題[賣/臺北]犀牛盾紫色 邊框 for iphone6/6s,時間Tue Nov  3 00:03:31 2015,[交易價格]：600,https://www.ptt.cc/bbs/MacShop/M.1446480214.A.288.html
131,標題[賣/台北] iPhone 5s 16GB 金色 $7000 iPhone5s,時間Tue Nov  3 00:05:26 2015,[交易價格]：7000,https://www.ptt.cc/bbs/MacShop/M.1446480329.A.D97.html
132,標題[賣/台北] iPhone 6S Plus 64G玫瑰金 台積電,時間Tue Nov  3 00:07:33 2015,[交易價格]：32500,https://www.ptt.cc/bbs/MacShop/M.1446480455.A.693.html
133,"標題[賣/台北] macbookpro retina 13"" 8g/128g 2014",時間Tue Nov  3 00:09:54 2015,[交易價格]：33500 議價恕不回,https://www.ptt.cc/bbs/MacShop/M.1446480597.A.F97.html
134,標題[賣/新北] Iphone 5 16g 黑,時間Tue Nov  3 00:17:15 2015,[交易價格]：5000,https://www.ptt.cc/bbs/MacShop/M.1446481038.A.C1A.html
135,標題[賣/台北] iPhone 6S 金 16G 台積版未開通22000,時間Tue Nov  3 00:24:18 2015,[交易價格]：21500  尚未開通,https://www.ptt.cc/bbs/MacShop/M.1446481461.A.1B6.html
136,標題[賣/台中] 剛整新iPhone 6s 128G 玫瑰金 tsmc,時間Tue Nov  3 00:26:56 2015,[交易價格]：29000,https://www.ptt.cc/bbs/MacShop/M.1446481622.A.002.html
